Distritos;X;Y
EMILIO SAN MARTIN;-6.20137531847; -74.4540463436
PUINAHUA;-5.64473068796; -74.8863706211
ALTO NANAY;-3.36163918327; -74.2855205293
SAN PABLO;-3.86675834937; -71.3389666823
REQUENA;-5.32824080721; -73.8823435092
TAPICHE;-5.99203134621; -73.9935424072
JENARO HERRERA;-4.99617085436; -73.6983477474
CAHUAPANAS;-5.24009777148; -76.8557284947
MORONA;-3.67912239604; -77.3734689045
PASTAZA;-4.27660777496; -76.6377392601
SAN ANTONIO;-6.39933913467; -76.3820897301
PUCACACA;-6.84023301605; -76.3630463055
SAN PABLO;-6.83887049661; -76.5865247964
SAUCE;-6.70275954762; -76.2046188508
SHAPAJA;-6.58829599542; -76.2132673936
SAN MARTIN;-6.42328605746; -76.8373409468
TARAPOTO;-6.49420754283; -76.369643648
RUMISAPA;-6.44375616636; -76.4725723596
CHIPURANA;-6.4340320883; -75.6668363246
PAPAPLAYA;-6.24280453781; -75.6382111716
RIOJA;-6.07868836867; -77.209895329
ELIAS SOPLIN VARGAS;-6.04638888252; -77.2972963254
NUEVA CAJAMARCA;-5.94435715193; -77.3722452408
POSIC;-5.98282040598; -77.1721679009
YANTALO;-5.96378246594; -77.0663736034
YURACYACU;-5.93538675612; -77.2327670863
AWAJUN;-5.8591884098; -77.4365073086
LANGA;-12.1592795127; -76.3756797191
LARAOS;-11.5851826178; -76.5317035478
SAN ANDRES DE TUPICOCHA;-11.9880608676; -76.4580386573
SAN ANTONIO;-11.8166491154; -76.7735595825
SAN DAMIAN;-11.9644709751; -76.3329899087
SAN JUAN DE TANTARANCHE;-11.9929248289; -76.1569898199
SAN LORENZO DE QUINTI;-12.1089447781; -76.1188549544
SAN PEDRO DE CASTA;-11.7650407967; -76.5551227246
SANTA CRUZ DE COCACHACRA;-11.925969792; -76.5607700617
SANTA EULALIA;-11.858350427; -76.6489914203
SURCO;-11.8771122585; -76.4453579441
ARAHUAY;-11.6407122447; -76.6751049057
LUNAHUANA;-13.0193333403; -76.1173823876
PACARAN;-12.897902258; -76.0704285024
ZUÑIGA;-12.8298665497; -76.0140629517
IHUARI;-11.1872834957; -76.9608768021
UTICYACU;-6.61470054695; -78.7905379609
TABACONAS;-5.32434378905; -79.2151249431
CAÑARIS;-6.06024181073; -79.3047235868
PATAPO;-6.70893120102; -79.5857542899
MANUEL ANTONIO MESONES MURO;-6.63533251328; -79.6828302245
CHOCHOPE;-6.15523249155; -79.6135902662
MORROPE;-6.50615032633; -80.1790002415
VICHAYAL;-4.83843400267; -81.1072997361
HUARMACA;-5.69470403619; -79.5612201453
CRISTO NOS VALGA;-5.53519054786; -80.6410278466
RINCONADA LLICUAR;-5.48207966755; -80.7743550375
BELLAVISTA DE LA UNION;-5.42651704889; -80.7428993328
SAN MIGUEL DE EL FAIQUE;-5.42463169998; -79.6050802361
SALITRAL;-5.43705456076; -79.8277046787
VICE;-5.43862319196; -80.8745439868
SAN JUAN DE BIGOTE;-5.29589195535; -79.741242592
SUBTANJALLA;-14.0481568646; -75.8932385785
TATE;-14.1515535913; -75.7032582482
YAUCA DEL ROSARIO;-14.1006818451; -75.4341522229
ICA;-14.2138564606; -75.9066563702
PARACAS;-14.0470631056; -76.1577528384
CARUMAS;-16.7284305799; -70.3714155556
CUCHUMBAYA;-16.7686536724; -70.6676286219
MATALAQUE;-16.5286762001; -70.8365561715
UBINAS;-16.2174614726; -70.8051568949
YUNGA;-16.2276085536; -70.6600162682
ILO;-17.7141282949; -71.2169898005
EL ALGARROBAL;-17.5830360757; -71.1415317996
PACOCHA;-17.4394508451; -71.3594362766
INCLAN;-17.6811648102; -70.4235652614
CORONEL GREGORIO ALBARRACIN LANCHIPA;-18.1076693532; -70.2409451603
